,id,language,text
172,172,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
173,173,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
174,174,en,"u'Lakers colors going to be hot this year! \n#Lebron https://t.co/Fo16Remr3X', "
175,175,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
176,176,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
177,177,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
178,178,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
179,179,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
180,180,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
181,181,en,"u'RT @999chosen: S M A S H E D on the B U R N E D O U T  mixtape\U0001f432\U0001f91f\U0001f3fc\U0001f4a6    #album #mixtape  #albumcover #HipHop #trippieredd #Tekashi69 #LeBron\u2026', "
182,182,en,"u'RT @TheBSLine: I uploaded a new episode, ""Sixers Look To Run It Back - The Broad Street Line Express - Episode 85"", on #spreaker #76ers #ba\u2026', "
183,183,en,"u'RT @mikeyisasleep: Have you guys seen this yet? Lmao #Lebron #TheOffice https://t.co/itQqSGdv16', "
184,184,en,"u""RT @SeanNeutron: I discuss all the latest #NBAFreeAgency signings, trades and the effect they'll have on the #NBA landscape:\n\nhttps://t.co/\u2026"", "
185,185,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
186,186,en,"u""Survey reveals how #LeBron James' departure will impact #Cavs fans watching their team going forward\u2026 https://t.co/pe6agdXdCN"", "
187,187,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
188,188,en,"u""@MagicJohnson @AgentD_P And congratulations to you on getting @KingJames, let's continue to build this dynasty!\u2026 https://t.co/zjqT1OBXXy"", "
189,189,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
190,190,en,"u'As a @Lakers fan, how could you not want @KingJames on your team. I\u2019m a #Lakers fan and see zero issue with this. A\u2026 https://t.co/fUTUIyuk60', "
191,191,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
192,192,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
193,193,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
194,194,en,"u'On this day in 2010....#LeBron was the 3rd man!\n\nhttps://t.co/vUydjrctYV', "
195,195,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
196,196,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
197,197,en,"u'RT @BS3Sports: #ICYMI BS3 Sports Show - ""MELO DECISION"" ft .@JayOrleans \u200b@kmatt22\u200b @Gabe_Montoya13 on #spreaker \n\nhttps://t.co/m2haJp7Jnx\u2026', "
198,198,en,"u'@60th_President @BlazePizza Attention #LosAngeles, @BlazePizza and #LeBron fans; Blaze \U0001f355 is offering free \U0001f355\U0001f355 tomorr\u2026 https://t.co/KfZ8BGF8pj', "
199,199,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
200,200,en,"u'Made my own Rap with the Rapchat App! I call it ""Cold  #Lebron  #FreestyleFriday  #NoTimeToPlay"" #rapchat  https://t.co/WIsoffSzif', "
201,201,en,"u'RT @MargaretRiedel: @ThePlainDealer Sports cover off #LeBron leaving for Lakers: ""Promise kept"" https://t.co/09rXIZ5KHE', "
202,202,en,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
203,203,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
204,204,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
205,205,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
206,206,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
207,207,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
208,208,en,"u'No surprise...#Lakers are a proud and noble legacy...one that #LeBron will struggle to contribute too. I dunno how\u2026 https://t.co/pxKlisKF2P', "
209,209,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
210,210,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
211,211,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
212,212,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
213,213,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
214,214,en,"u'RT @dbwofficial: Okay, okay... guess I\u2019ll be going to a few Lakers games now. I mean... \U0001f937\U0001f3fe\u200d\u2642\ufe0f\U0001f62c  #Lebron #Lakers #SorryKnicks', "
215,215,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
216,216,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
217,217,en,"u""RT @unqlechriz: WATCH: I'm learning isiXhosa, what y'all think? \U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\nPlease RT\nCc: @Kay_Q0 @Rhyme_Insane \n#DateMyFamily #OurPerfectWedding\u2026"", "
218,218,en,"u'RT @jbandbennyblue: EPISODE 90 IS HERE! Subscribe on iTunes, Spotify, and YouTube now!\nFollow @jbandbennyblue on IG for more!!\nLISTEN HERE:\u2026', "
219,219,en,"u""@LakersDynasty32 It's cool he's a Laker what's not cool is proclaiming him the best to ever wear the Jersey. We res\u2026 https://t.co/al8DlBp5I4"", "
220,220,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
221,221,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
222,222,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
223,223,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
224,224,en,"u'RT @Sportsmanias: And just like that... he\u2019s gone \U0001f602 #LeBron #NBA https://t.co/JRH6YwbMK3', "
225,225,en,"u'Welcome to LA @kingjames \U0001f389\U0001f4b0\U0001f3c0 #lebron #lakers #lakernation @ Los Angeles, California https://t.co/PMIV4dKXnr', "
226,226,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
227,227,en,"u'RT @Navigate_Res: With Lebron going to the west coast, east coast fans will now be less productive at work.  Navigate estimates there will\u2026', "
228,228,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
229,229,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
230,230,en,"u'RT @purehoop: We hit 400 shirts sold and I have another code for a free Showtime shirt! Retweet this along with describing your favorite La\u2026', "
231,231,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
232,232,en,"u'RT @IAmSteveHarvey: Everybody\u2019s asking me what I think about @KingJames leaving the Cavs. Well, y\u2019all know this hurts like hell to say but\u2026', "
233,233,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
234,234,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
235,235,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
236,236,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
237,237,en,"u'\U0001f6a8STEALS\U0001f6a8PLEASE RT\U0001f6a8\n@iNeedKicks @i7solar @QuanFlix_ @SNKRAddict2323 @ASnkrSociety @TheSoleParadise @Kickz_cover\u2026 https://t.co/ryBd9nafVs', "
238,238,en,"u'RT @brianrichman6: See the video cartoon #LeBron #lakers #nba #new #music #hophop #funny #staplescenter #events #areuthesuperman\nhttps://t.\u2026', "
239,239,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
240,240,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
241,241,en,"u'RT @purehoop: We hit 400 shirts sold and I have another code for a free Showtime shirt! Retweet this along with describing your favorite La\u2026', "
242,242,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
243,243,en,"u'RT @brianrichman6: See the video cartoon #LeBron #lakers #nba #new #music #hophop #funny #staplescenter #events #areuthesuperman\nhttps://t.\u2026', "
244,244,en,"u'RT @ErnieLearnsGolf: I didn\u2019t want Lebron not because I don\u2019t like Him, but because I wanted the young guys to do it for themselves. I got\u2026', "
245,245,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
246,246,en,"u'See the video cartoon #LeBron #lakers #nba #new #music #hophop #funny #staplescenter #events #areuthesuperman\u2026 https://t.co/sxQLjP8rhD', "
247,247,en,"u'Will Hollywood Give Us #SpaceJam2 \U0001f3c0 Now That #Lebron Is A #Laker?  https://t.co/bCwjoWgks0', "
248,248,en,"u'I didn\u2019t want Lebron not because I don\u2019t like Him, but because I wanted the young guys to do it for themselves. I g\u2026 https://t.co/oREHjcCRqm', "
249,249,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
250,250,en,"u'RT @michaeleaves: #Kobe fans: Why are you so set against #LeBron being the King of LA. Tweet me here or call @WillCainShow at 888-729-3776\u2026', "
251,251,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
252,252,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
253,253,en,"u'#Kobe fans: Why are you so set against #LeBron being the King of LA. Tweet me here or call @WillCainShow at 888-729\u2026 https://t.co/0bZZLkoAVq', "
254,254,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
255,255,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
256,256,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
257,257,en,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
258,258,en,"u'RT @jbandbennyblue: EPISODE 90 IS HERE! Subscribe on iTunes, Spotify, and YouTube now!\nFollow @jbandbennyblue on IG for more!!\nLISTEN HERE:\u2026', "
